date,AAPL_port,AAPL_bm,AAPL_active,MSFT_port,MSFT_bm,MSFT_active,GOOGL_port,GOOGL_bm,GOOGL_active,AMZN_port,AMZN_bm,AMZN_active,META_port,META_bm,META_active,NVDA_port,NVDA_bm,NVDA_active,TSLA_port,TSLA_bm,TSLA_active,PLTR_port,PLTR_bm,PLTR_active,AVGO_port,AVGO_bm,AVGO_active,MU_port,MU_bm,MU_active,GEV_port,GEV_bm,GEV_active,VRT_port,VRT_bm,VRT_active,BE_port,BE_bm,BE_active,LITE_port,LITE_bm,LITE_active,000660_port,000660_bm,000660_active
2018-01-31,0.15843108109169976,0.20800600859013466,-0.049574927498434895,0.16342783754337473,0.17865881643450388,-0.015230978891129149,0.18139576844505678,0.19948349389871453,-0.01808772545365775,0.16485502151497963,0.1707428087774047,-0.005887787262425059,0.10101472692747095,0.1326261539374528,-0.03161142700998186,0.06772637380916673,0.036377310531143243,0.03134906327802348,0.04521052842665027,0.01461181896693011,0.03059870945972016,0.004682156508489676,0.002712515441726258,0.0019696410667634184,0.028196327934209724,0.024823032491867656,0.0033732954423420676,0.08506017779890192,0.012346173821694567,0.07271400397720736,0.0,0.00930264497274029,-0.00930264497274029,0.0,0.0002074776971142547,-0.0002074776971142547,0.0,0.00038854895537544874,-0.00038854895537544874,0.0,0.0007010496312351115,-0.0007010496312351115,0.0,0.009012145851962496,-0.009012145851962496
2018-02-28,0.10884367708716128,0.2204311422805321,-0.11158746519337082,0.15983007098022176,0.17609687398909335,-0.016266803008871594,0.14953916173607956,0.18727855192066323,-0.037739390184583665,0.15721953451844092,0.17857935167258068,-0.02135981715413976,0.08618732493170046,0.12634410831038775,-0.04015678337868729,0.1833747091277038,0.03576816656373401,0.14760654256396977,0.03926024916247775,0.014133824480499773,0.025126424681977975,0.0075713631782566805,0.002708973917861868,0.004862389260394812,0.023115855201874175,0.02467485435935907,-0.001558999157484895,0.08505805407608358,0.013765552460049697,0.07129250161603388,0.0,0.009290499220990416,-0.009290499220990416,0.0,0.0002072068093602697,-0.0002072068093602697,0.0,0.000388041656734203,-0.000388041656734203,0.0,0.0009283743093050019,-0.0009283743093050019,0.0,0.009404478048848567,-0.009404478048848567
2018-03-29,0.09109449378534397,0.21961909043276676,-0.12852459664742277,0.16174144123254544,0.18129482811233466,-0.01955338687978922,0.12917925411505604,0.18551620918180106,-0.05633695506674502,0.18502238123467277,0.18075503947294078,0.004267341761731991,0.03331002152407844,0.11974962710308186,-0.08643960557900342,0.25422493637226545,0.03614543871096956,0.2180794976612959,0.016297941043480882,0.011597198160254608,0.004700742883226274,0.012941757838575242,0.0028653287502749614,0.010076429088300282,0.011871997714476779,0.024970396476023633,-0.013098398761546854,0.061510012126990136,0.01559980534443032,0.04591020678255982,0.0,0.009826722341912323,-0.009826722341912323,0.0,0.00021916624010220453,-0.00021916624010220453,0.0,0.00041043839810108286,-0.00041043839810108286,0.011519474066589177,0.0010301049977248598,0.010489369068864317,0.03128628894592576,0.010400606277281087,0.02088568266864467
2018-04-30,0.06670692481807718,0.21211216168599897,-0.14540523686792178,0.18487389844117577,0.18175766775778593,0.0031162306833898423,0.16033645445014244,0.17883736333198558,-0.018500908881843137,0.24926112014104146,0.19222900926082817,0.05703211088021329,0.035570074052405996,0.12598839573834106,-0.09041832168593505,0.1567240819105773,0.03453425956327247,0.12218982234730483,0.0,0.012621783516101407,-0.012621783516101407,0.018112594739815552,0.0028095863255798844,0.015303008414235666,0.004758013046617959,0.02383730799778497,-0.019079294951167013,0.08732531885192615,0.01348916424074958,0.07383615461117657,0.0,0.00963555219081154,-0.00963555219081154,0.0,0.0002149025556529322,-0.0002149025556529322,0.0,0.00040245368378307583,-0.00040245368378307583,0.006659489485245251,0.0007987114453142126,0.005860778039931039,0.029672030062974884,0.010731680706010245,0.01894034935696464
2018-05-31,0.09362015876064889,0.21579317584916002,-0.12217301708851114,0.16780333891492427,0.1784173724182352,-0.010614033503310916,0.13695408727561698,0.17818391854330018,-0.041229831267683203,0.20895361273152788,0.18577771806684126,0.023175894664686614,0.05742500837765629,0.13047327764269215,-0.07304826926503585,0.2159994374199393,0.03596490835007845,0.18003452906986084,0.0,0.011358400210501475,-0.011358400210501475,0.015363942773945925,0.002609507441770978,0.012754435332174947,0.0009230763741503341,0.02432558275076005,-0.023402506376609716,0.07585171582626109,0.015692036629705117,0.060159679196555974,0.0,0.008949376254636262,-0.008949376254636262,0.0,0.00019959871427555585,-0.00019959871427555585,0.0,0.00037379377641415696,-0.00037379377641415696,0.0,0.0008640614097572874,-0.0008640614097572874,0.027105621545329125,0.011017271941871801,0.016088349603457324
2018-06-29,0.10265729355441858,0.21158597444283342,-0.10892868088841484,0.14271496973979766,0.17619120887071527,-0.0334762391309176,0.12583145054557732,0.18121313963417734,-0.05538168908860003,0.18982651951458232,0.1918067899101195,-0.0019802703955371925,0.08076621541089929,0.13085629932013687,-0.05009008390923758,0.18907989812796966,0.03344067469052636,0.1556392234374433,0.008714264646879693,0.013541713477304823,-0.0048274488304251295,4.484611238621261e-05,0.002582958412614606,-0.0025381123002283933,0.024699840550840915,0.024358279554030148,0.00034156099681076704,0.1169343916626929,0.014143960870096834,0.10279043079259606,0.0,0.00885832564205229,-0.00885832564205229,0.0,0.00019756800457147478,-0.00019756800457147478,0.0,0.00036999081279365286,-0.00036999081279365286,0.0,0.0008469691200164259,-0.0008469691200164259,0.018730310133955482,0.010006147238010993,0.00872416289594449
2018-07-31,0.1286201508703012,0.20913352678814748,-0.08051337591784627,0.14283270302279105,0.18481010805596246,-0.041977405033171405,0.12943192701501036,0.19290150894994304,-0.06346958193493268,0.21632510208200922,0.19673655004736515,0.019588552034644074,0.022784955134850134,0.11307609718005991,-0.09029114204520977,0.1269825570705082,0.03372929047500587,0.09325326659550234,0.0,0.011487947703543016,-0.011487947703543016,0.015091671592458606,0.0025205586295316083,0.012571112962926997,0.014328915052945056,0.021725330900516787,-0.0073964158475717315,0.17513685789268824,0.013894387765854912,0.16124247012683332,0.0,0.008644323900544152,-0.008644323900544152,0.0,0.000192795105182467,-0.000192795105182467,0.005975191717630777,0.0005689405708422521,0.005406251146788525,0.0,0.0007458554979379475,-0.0007458554979379475,0.02248996854880715,0.00983277842956314,0.012657190119244011
2018-08-31,0.14775737390315774,0.2300769196472124,-0.08231954574405467,0.1372827346367179,0.180257461197125,-0.0429747265604071,0.13361588571339425,0.17826608591231932,-0.04465020019892507,0.3102254922684949,0.205434659201485,0.1047908330670099,0.02218976766617553,0.1061765633881426,-0.08398679572196707,0.11635870235197218,0.03571232506843289,0.0806463772835393,0.0,0.010769173621005053,-0.010769173621005053,0.012013466422140124,0.0023243376308393518,0.009689128791300771,0.003109519400534986,0.01978652900420442,-0.016677009603669433,0.10702657122299127,0.012747202349951177,0.09427936887304009,0.0,0.007971378685578326,-0.007971378685578326,0.0,0.00017562042465415424,-0.00017562042465415424,0.008710665490449403,0.0006817030062963224,0.008028962484153081,0.0,0.0008994490413253862,-0.0008994490413253862,0.0017098209239715975,0.008720591821428543,-0.007010770897456945
2018-09-28,0.15666971798256285,0.231070138094184,-0.07440042011162115,0.17078149876913215,0.18586660213756426,-0.015085103368432107,0.1653120698956083,0.1768899987534359,-0.011577928857827602,0.2853028021754558,0.2070452198724073,0.0782575823030485,0.026271569437799028,0.10063169520504275,-0.07436012576724373,0.12212566727587763,0.036210592827991384,0.08591507444788625,0.0,0.009572495582528526,-0.009572495582528526,0.013300666410675737,0.0023539159995392563,0.01094675041113648,0.029663347260283152,0.021619051196574857,0.008044296063708295,0.007786685515224965,0.011117534814417292,-0.0033308492991923275,0.0,0.008072818499949638,-0.008072818499949638,0.0,0.00017822086439746402,-0.00017822086439746402,0.022785975277380466,0.0007889035904785657,0.0219970716869019,0.0,0.0008046504363502279,-0.0008046504363502279,0.0,0.007778162125138316,-0.007778162125138316
2018-10-31,0.15153075597217253,0.24782679333739066,-0.09629603736521813,0.20958915244277593,0.19354047915425565,0.016048673288520277,0.21041572220090535,0.17660979387743445,0.0338059283234709,0.23733028985796611,0.18319004708756353,0.05414024277040258,0.025077214823662604,0.10241796408290632,-0.07734074925924372,0.07821659296059574,0.030052276345726936,0.04816431661486881,0.0023736082567229625,0.013491028208173486,-0.011117419951450522,0.030421151641991197,0.0026039792561720707,0.027817172385819128,0.03500401035431196,0.021663036232236,0.013340974122075955,0.0,0.010030530787987746,-0.010030530787987746,0.004555530426530365,0.00893041719280791,-0.004374886766277545,0.0,0.00019634494262410837,-0.00019634494262410837,0.015485971062365371,0.0006081833523568965,0.014877787710008474,0.0,0.0008114369736636547,-0.0008114369736636547,0.0,0.008027689168700726,-0.008027689168700726
