episode,train_reward,val_reward
5,-0.027444872904644473,-0.02120407809072109
10,-0.032037079051085875,-0.011169919334197633
15,-0.029822495907768014,-0.030422436999257924
20,-0.0364191706214698,-0.024409557058282228
25,-0.034836215375766554,-0.02286692247308532
30,-0.030355401318453414,-0.033399852001070304
35,-0.028953763358998373,-0.019581331452577098
40,-0.026658583040815816,-0.016990837277043903
45,-0.02278764959511103,-0.005803781300738974
50,-0.026018652194089022,-0.004487243525697143
55,-0.023110810954545574,-0.005709359576037014
60,-0.023702908737157167,-0.004058706435337937
65,-0.024043793290421736,-0.01059417253625466
70,-0.022270724753602002,-0.011443274793447035
75,-0.022868159845694624,-0.02766919322997724
80,-0.01104232750075153,-0.015787810023644322
85,-0.012133365356969444,-0.02723955012021123
90,-0.012640241048986062,-0.04129744753760228
95,-0.009828458280732607,-0.03200939673356384
100,-0.014920159771285711,-0.029942621244679824
105,-0.01249689773005008,-0.03202991553034389
110,-0.010188198817084946,-0.0219367967663271
115,-0.008589759192257327,-0.013884252518047407
120,-0.0077686821550175846,-0.009700512586062577
125,-0.011543263430912127,-0.007863547523849804
130,-0.006814200643997541,-0.006298347497962739
135,-0.008780823300387748,-0.00822928496323648
140,-0.006886935811459038,-0.011324831294931958
145,-0.007557704450989488,-0.0069680424068474635
150,-0.008090717579037147,-0.0081347607070325
155,-0.0063220421007761,
160,-0.0039278448266764875,
165,-0.006141807034305305,
170,-0.0007273689294487331,
175,-0.010479852799465596,
180,-0.014581854553734182,
185,-0.006564762049836923,
190,-0.007176429835566987,
195,-0.0047802248531443655,
200,-0.0014383705528962253,
205,-0.005499185904605204,
210,-0.0016652557866857225,
215,-0.0049494907959358745,
220,-0.0032374603992288815,
225,-0.00539738649265565,
230,-0.005749997556244462,
235,-0.004271513629713742,
240,-0.00342737921877017,
245,-0.006543673774750594,
250,-0.00893724246184943,
255,-0.011480719655646957,
260,-0.00535144535456045,
265,-0.014118781893321192,
270,-0.015301849727774285,
275,-0.011685226996206253,
280,-0.011081210562282359,
285,-0.009480238379157445,
290,-0.010240343339962545,
295,-0.0028875691146576644,
300,-0.015005675474758924,
305,-0.010457966240331082,
310,-0.005892971477020955,
315,-0.009707183007353185,
320,-0.007541756633795817,
325,-0.007663474037682911,
330,-0.005660022352631674,
335,-0.006484606083185018,
340,-0.0009828295249931403,
345,-0.0049708996242359485,
350,-0.005773349008984889,
355,-0.015523798180054768,
360,-0.005211191288679022,
365,-0.009225118904241282,
370,-0.008536922684751126,
375,-0.008524727914706235,
380,-0.006687741730427911,
385,-0.0039345259236430495,
390,0.0034463954516561926,
395,-0.0016719819622048452,
400,0.004406951015265319,
405,-0.0007861643825719789,
410,-0.0012793992313156473,
415,-0.0014476464058048295,
420,-0.0028575118341799873,
425,0.0009304478965271897,
430,-0.0077727531774594225,
435,-0.008012266897783853,
440,-0.0078880603164052,
445,-0.006655416641659912,
450,-0.00700217251587659,
455,-0.008206120248771305,
460,-0.002041368072856405,
465,-0.0005544382189229404,
470,-0.004688276955112931,
475,0.001620467265798867,
480,-0.0004284653275172371,
485,0.0003521860044410497,
490,0.0010553122862611835,
495,0.0034485292111791407,
500,0.005383858148101376,
505,0.0014255923354086924,
510,0.0017432197467102948,
515,0.006573714988610477,
520,0.0017715597571810703,
525,0.0017090612826085906,
530,0.001315505159102267,
535,0.005481647947391924,
540,0.005414814795856678,
545,0.0033344456114472614,
550,0.0007667752467023132,
555,0.003251967513381284,
560,0.00528617104414491,
565,0.005685149907015463,
570,0.009530325327202474,
575,0.011019830396217853,
580,0.005992104737568556,
585,0.007776161510056523,
590,0.001874727535919138,
595,0.007580377217211354,
600,0.00449137292322607,
605,0.007182270381710295,
610,0.006182201698887651,
615,0.006130505592101131,
620,0.003599565479626787,
625,0.006139831699843094,
630,0.002460319026876208,
635,0.00433728277112243,
640,0.007673675583921335,
645,0.005857152168320197,
650,0.0081466241648797,
655,0.006234611498420321,
660,-0.000833965766417936,
665,0.004890138691999184,
670,0.0016866716319357904,
675,0.002105154200449646,
680,0.0013414299858836775,
685,0.004173579511328638,
690,0.0007573417754218422,
695,0.00018114446825017222,
700,-0.0015328792626251903,
705,0.004984432583810171,
710,0.0012054670447225312,
715,0.0014406825818478995,
720,0.0003798869481511797,
725,0.0003765491560750366,
730,0.0009761821533951312,
735,-0.0004350495905480734,
740,0.0018644293411831227,
745,-0.0022916764092222094,
750,0.006442081232518665,
