Ticker,Average,Min,Max,Latest,Change
NVDA,22.365410372562845,6.33000382572422,37.21425778117458,30.9541634020913,-6.260094379083281
MSFT,14.805958302795327,0.0,25.72702625200079,25.324719916138477,25.324719916138477
MU,7.564336435812726,0.0,19.61653582993446,19.61653582993446,19.61653582993446
BE,2.6933566075887643,0.0,11.556037642939119,11.556037642939119,11.556037642939097
GOOGL,16.69963939657557,6.55136885948245,30.472019971393937,6.753051806873139,-8.553978253451191
PLTR,17.661186665568845,3.7033616924717396,21.49923316268178,3.7033616924717396,-17.19811328628621
GEV,7.3878339254392955,1.09008659146518,20.47459373868231,1.40271311187024,-19.071880626812067
TSLA,5.252670045170732,0.0,19.982079529973053,0.37844132462691,0.37844132462691
AMZN,2.2970523074682707,0.0,11.04379716033585,0.29739317103162,0.29739317103162
AAPL,1.790764724322701,0.0,12.792762595173071,0.009516705415049368,0.009516705415049368
AVGO,0.4706572114570003,0.0,3.8408493335131904,0.0028572586553234636,0.0028572586553234636
META,0.1990085282238858,0.0,1.6240307263655902,0.0012081379525299733,0.0012081379525299733
VRT,0.8121254770140589,0.0,6.10264344106131,6.235800229428184e-14,-6.102643441061248
