date,GOOGL,AMZN,AAPL,BE,AVGO,GEV,META,MU,MSFT,NVDA,PLTR,TSLA,VRT
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,-0.517991101421377,-0.517991101421377,2.2228779001367,-0.517991101421377,-0.517991101421377,-0.517991101421377,-0.517991101421377,-0.517991101421377,1.521199168793061,1.4358339452840099,-0.517991101421377,-0.517991101421377,-0.517991101421377
2013-01-07,0.05300895574920238,-0.24830668294764582,0.8171274869442551,0.05300895574920238,0.05300895574920238,0.05300895574920238,0.05300895574920238,-2.9458058920153936,0.40049706239366467,1.5524163796315003,0.05300895574920238,0.05300895574920238,0.05300895574920238
2013-01-08,-0.18507869414413552,-0.34970458126645065,1.9163476099897931,-0.18507869414413552,-0.18507869414413552,-0.18507869414413552,-0.18507869414413552,-1.1042563305016542,1.4977388084995467,1.1309464867864694,-0.18507869414413552,-1.7955211344987556,-0.18507869414413552
2013-01-09,-0.10625985140026582,-0.11277708015187424,1.201532485753217,-0.10625985140026582,-0.10625985140026582,-0.10625985140026582,-1.5273797197205108,1.3453150682869983,1.42106017484404,0.35600908569317286,-0.10625985140026582,-2.0462009063034485,-0.10625985140026582
2013-01-10,-0.11412041480859825,-0.10700895128432619,1.1254436014289535,-0.11412041480859825,-0.11412041480859825,-0.11412041480859825,-0.898639365955483,1.3812046746939362,1.370455594707577,0.25930797045311943,-0.11412041480859825,-2.4460410351921875,-0.11412041480859825
2013-01-11,-0.4146107567587744,-0.37450828563154875,1.2572543503872422,-0.4146107567587744,0.9548683055728889,-0.4146107567587744,-1.005366281195803,1.423697219674945,1.5479727198800581,0.022242077933742367,-0.4146107567587744,-1.7531063228276527,-0.4146107567587744
2013-01-14,-0.6021657524386943,-0.5074498915870337,0.7315054387909264,-0.6021657524386943,1.9250572762809113,-0.6021657524386943,-0.9512666091702606,2.089930548762423,0.1498384061470596,-0.6021657524386943,-0.6021657524386943,0.1753793454081394,-0.6021657524386943
2013-01-15,-0.6245426107063086,-0.5002739013863742,0.5371268398857483,-0.6245426107063086,2.0752958684691993,-0.6245426107063086,-0.44840264980092776,1.8886299483527487,-0.6191737723158166,-0.6245426107063086,-0.6245426107063086,0.8140533310332744,-0.6245426107063086
2013-01-16,-2.025536690587021,-0.3192042551896832,-0.3544321413871568,-0.4036904236806847,2.0335082071300814,-0.4036904236806847,0.14897748631885593,1.1162100853476031,0.23781728614555583,-0.4036904236806847,-0.4036904236806847,1.1811121406251888,-0.4036904236806847
2013-01-17,-1.4077267626510328,-0.3094121076881726,-1.0183029772317076,-0.3623398799468679,2.5622396443781144,-0.3623398799468679,0.35349016878390643,0.3626410202820116,0.08540769049311125,-0.3623398799468679,-0.3623398799468679,1.1833627233681088,-0.3623398799468679
2013-01-18,-1.1544839882731632,-0.3860137835444813,-0.7865590977204604,-0.43413650595830255,2.8078362643575288,-0.43413650595830255,0.26191724519108944,0.1257506718952255,0.38574457631100206,-0.43413650595830255,-0.43413650595830255,0.9164906415747723,-0.43413650595830255
2013-01-21,-0.8841161033221746,-0.4746406846806748,-0.7173724442945395,-0.522982009611791,2.796395306059488,-0.522982009611791,0.28817677343881226,0.0683844032193986,0.6678424184132973,-0.522982009611791,-0.522982009611791,0.8702403792253482,-0.522982009611791
2013-01-22,-1.8438761897750706,-0.33919642952871065,-0.16195311559933726,-0.37849729543523947,2.4957172067438886,-0.37849729543523947,0.2527191086720668,-0.03910836138940167,1.1388335084656107,-0.37849729543523947,-0.37849729543523947,0.3893507495871513,-0.37849729543523947
2013-01-23,-2.12283454163238,0.03493849043463234,-0.4679168931980939,0.013008279489576636,1.9601637048590492,0.013008279489576636,0.36078131851238543,-1.3823991240578473,1.0797787889045458,0.013008279489576636,0.013008279489576636,0.4724468587298253,0.013008279489576636
2013-01-24,-1.3931765746594025,-0.11836119719293212,0.09733738691466279,-0.1537714946296733,2.310513995157215,-0.1537714946296733,0.39834177564207784,-1.8523521623960266,0.8968515400464474,-0.1537714946296733,-0.1537714946296733,0.42970270963632506,-0.1537714946296733
2013-01-25,-0.14165578264883696,-0.05886832144957965,0.9094247580518028,-0.08884033008970578,1.7340302893293547,-0.08884033008970578,0.6432666515688708,-1.5037406124973938,0.9768752914909409,-0.08884033008970578,-0.08884033008970578,-2.1151306233966296,-0.08884033008970578
2013-01-28,-1.3089995037294622,0.24067234453160125,0.820723887341513,0.22469688000616378,0.8664778991322846,0.22469688000616378,0.5043267611889207,-0.11663162864710959,0.6692261098748913,0.22469688000616378,0.22469688000616378,-2.7992802697234582,0.22469688000616378
2013-01-29,-0.09993241677680623,0.20486475663377923,0.6610265973658525,0.19329671965109593,0.5699686930739093,0.19329671965109593,0.3789483417195537,0.13162012626203115,0.4485104578021827,0.19329671965109593,0.19329671965109593,-3.0,0.19329671965109593
2013-01-30,0.5128751212935809,0.1637715229356904,0.5689033216137979,0.15420908601645356,0.41668654112617615,0.15420908601645356,0.35269208010551106,0.16827523485416584,0.33636021605204386,0.15420908601645356,0.15420908601645356,-3.0,0.15420908601645356
2013-01-31,0.6340816159865508,0.12640584745785938,0.6404603172485108,0.11533006066073828,0.35560770259343516,0.11533006066073828,0.3675799121507109,0.2807999216923712,0.28683492100227476,0.11533006066073828,0.11533006066073828,-3.0,0.11533006066073828
2013-02-01,1.122589391939511,0.037620414053690134,0.650585954234822,0.0211964997798467,0.28723510692081633,0.0211964997798467,0.42021545206155236,0.2722855632877854,0.2524407510437462,0.0211964997798467,0.0211964997798467,-3.0,0.0211964997798467
2013-02-04,1.9601667858772822,-0.10306494072263737,0.5686531078251486,-0.12162320667083308,0.12762965598759138,-0.12162320667083308,0.33548732460275754,0.35906305010078426,0.09566585262598559,-0.12162320667083308,-0.12162320667083308,-2.735484802942747,-0.12162320667083308
2013-02-05,2.6889584299297957,-0.2627436194838188,0.26851771094143034,-0.27657299673613067,0.0007383270850725104,-0.27657299673613067,0.18498587052162593,0.5264750708947807,-0.04092992171488006,-0.27657299673613067,-0.27657299673613067,-1.9831368844933537,-0.27657299673613067
2013-02-06,2.6730591467807927,-0.19835616102086143,-1.1829686566697366,-0.20943781290807206,0.10966349329468845,-0.20943781290807206,0.1976662212364046,0.9546154784396077,-0.011784399249074503,-0.20943781290807206,-0.20943781290807206,-1.4947060582714604,-0.20943781290807206
2013-02-07,0.44351625983269966,0.026867685299498775,-1.24142173659903,0.009723033451708165,0.5521087873276752,0.009723033451708165,0.45652986564457837,1.8790445731820062,0.30890517527407085,0.009723033451708165,0.009723033451708165,-2.47416577722004,0.009723033451708165
2013-02-08,1.0317064772847233,-0.0041686557930462114,-0.27690485933077585,-0.015778041380014936,-0.1620965563386676,-0.015778041380014936,0.21202656995086155,1.7938983090233458,0.22617751752164347,-0.015778041380014936,-0.015778041380014936,-2.7417485954180094,-0.015778041380014936
2013-02-11,-1.3759387792397693,0.2436387567047015,0.3439758716054376,0.23523672668805462,0.10542636707450856,0.23523672668805462,0.37938909914955493,1.4266152565522814,0.40257621246176145,0.23523672668805462,0.23523672668805462,-2.7018664177487492,0.23523672668805462
2013-02-12,-1.2153559874614062,0.2317328314906948,0.6269708601052604,0.22378569038510493,0.10128470779425088,0.22378569038510493,0.3238736819521644,1.2856671038820582,0.34451029704181435,0.22378569038510493,0.22378569038510493,-2.8176119467303615,0.22378569038510493
2013-02-13,0.29641972413313455,0.3080017022640074,0.5968299963139254,0.3046378822795178,0.2618353582469515,0.3046378822795178,-3.0,0.7389892123149394,0.35422357920635067,0.3046378822795178,0.3046378822795178,-1.0559277615841418,0.3046378822795178
2013-02-14,0.5567805367536212,0.34915256025010605,0.0710350201636476,0.34715309476267625,0.3349886091189816,0.34715309476267625,-3.0,0.596530810685046,0.3820866745723385,0.34715309476267625,0.34715309476267625,-0.9547031782780346,0.34715309476267625
2013-02-15,0.06878378915758752,0.5009859864332965,-1.0990497885146537,0.4986022168046336,0.5008903978811032,0.4986022168046336,-2.628053379871699,0.7464841238926534,0.5476941548695288,0.4986022168046336,0.4986022168046336,-1.130746367870984,0.4986022168046336
2013-02-18,-1.2064888086887233,0.3051375893394673,-1.3606778100375208,0.6077414109624283,0.6264764860548516,0.6077414109624283,-2.2735897568340984,0.7262026983340404,0.6437929948836867,0.6077414109624283,0.6077414109624283,-0.499560447863845,0.6077414109624283
