date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE,LITE,000660
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,-1.7684873824384924,0.010966430811308459,1.3109789509982126,0.02120912296435243,-0.1934726618432877,-0.330204203447191,0.3905436202944495,-0.4047002568849515,1.0860770900392862,2.4415960695800134,-0.4047002568849515,-0.4047002568849515,-0.4047002568849515,-0.4047002568849515,-0.9457057525338936
2013-02-20,-1.690612305782761,0.10962347163575788,1.2930349876201326,0.07322475805261774,-0.1078916830157811,-0.6213049304212592,0.8183886602005032,-0.479230010696027,1.0234816737688144,2.340793550029067,-0.479230010696027,-0.479230010696027,-0.479230010696027,-0.479230010696027,-0.842588128606957
2013-02-21,-2.0491251701187334,0.11309385134524805,1.3018467773746614,0.09815252501904351,-0.1325029880107355,-0.8108211104934292,0.8435416918653377,-0.40492034323105625,0.8146822494853534,2.2477122154072253,-0.40492034323105625,-0.40492034323105625,-0.40492034323105625,-0.40492034323105625,-0.40197832571869047
2013-02-22,-2.1205507364623926,-0.0702691911188506,1.7636799282529572,0.3172725095663407,-0.38039322554232663,-0.8149851068437644,-0.1705328125366337,-0.22070131134966536,0.5080769428302614,2.2193434497271722,-0.22070131134966536,-0.22070131134966536,-0.22070131134966536,-0.22070131134966536,-0.14813520112443743
2013-02-25,-1.972274271486446,0.09776048617253308,1.6361171752206771,0.1662600647922129,-0.5163825935610277,-0.522166551950811,0.024222865817273464,-0.3106730046264877,0.5832479834749889,2.4280457088724963,-0.3106730046264877,-0.3106730046264877,-0.3106730046264877,-0.3106730046264877,-0.3714658442194572
2013-02-26,-2.033755788991812,-0.1168984089534311,1.6414340681090078,0.08563007580577803,-0.29788528368598355,-0.664894895846726,-0.31357706356186676,-0.1386499407600764,0.14709906269013323,2.515734731352378,-0.1386499407600764,-0.1386499407600764,-0.1386499407600764,-0.1386499407600764,-0.2696367931170953
2013-02-27,-1.9852113864344276,-0.1673294697404514,1.6217418206268157,0.014715542936073972,-0.30557210643817573,-0.5130979124610481,-0.3538073639137211,-0.18967844298091113,0.20420159687067635,2.583511863526702,-0.18967844298091113,-0.18967844298091113,-0.18967844298091113,-0.18967844298091113,-0.15076037006788867
2013-02-28,-1.9728295148358495,0.15366441809702838,1.5768940426058096,0.09448550089812255,-0.5524013288242631,-0.24677340190998096,-0.22235204841612172,-0.2641943772960095,0.34750695122160385,2.5559461792910607,-0.2641943772960095,-0.2641943772960095,-0.2641943772960095,-0.2641943772960095,-0.41316891164736236
2013-03-01,-1.969646946983707,0.08584164387789209,1.4645935528001401,0.08094244770451481,-0.44104865843638424,-0.2105257671216292,-0.3303054485420718,-0.2994955425724544,0.49778416129953557,2.6136196377291183,-0.2994955425724544,-0.2994955425724544,-0.2994955425724544,-0.2994955425724544,-0.2937769094651365
2013-03-04,-2.172924049790504,0.22362743847513117,1.5921806805111065,0.15426561956432328,-0.2548166842493279,-0.14352416932260312,-0.3690128370425526,-0.29040989286755897,0.2853874813831263,2.4215072283119756,-0.29040989286755897,-0.29040989286755897,-0.29040989286755897,-0.29040989286755897,-0.28464124350288
