date,GOOGL,AMZN,AAPL,BE,AVGO,GEV,LITE,META,MU,MSFT,NVDA,PLTR,000660,TSLA,VRT
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,1.1660918123983757,1.1660918123983757,-1.5248892931363371,-0.1793987403689808,-1.5248892931363371,-0.1793987403689808,-0.1793987403689808,1.1660918123983757,-0.1793987403689808,-1.5248892931363371,-0.1793987403689808,-0.1793987403689808,1.1660918123983757,1.1660918123983757,-0.1793987403689808
2013-01-04,1.1715151609868824,1.1715151609868824,-0.6923907572093952,-0.4376492138813071,-2.0468135887494965,-0.4376492138813071,-0.4376492138813071,1.1715151609868824,-0.4376492138813071,-1.0203255867272867,0.5278494110396066,-0.4376492138813071,1.1715151609868824,1.1715151609868824,-0.4376492138813071
2013-01-07,1.1469353128843165,1.07342725539434,-0.5499575373288079,-0.39053903700125314,-1.9280133868868228,-0.39053903700125314,-0.39053903700125314,1.1469353128843165,-1.1188163606312598,-0.9349425394605438,0.8232565023820909,-0.39053903700125314,1.1469353128843165,1.1469353128843165,-0.39053903700125314
2013-01-08,1.160731617950391,1.066855638265885,-0.3085737258598131,-0.4226067034705986,-2.0059450248915884,-0.4226067034705986,-0.4226067034705986,1.160731617950391,-1.2335490269452096,-0.7462627507776276,0.9658592091601153,-0.4226067034705986,1.160731617950391,0.8924543445500573,-0.4226067034705986
2013-01-09,1.285367336475069,1.1873498455116687,0.007088657236490722,-0.5028600998836656,-2.2910875362424004,-0.5028600998836656,-0.5028600998836656,0.7587360476224704,-0.7971889389695567,-0.379574086705813,1.1497671517274874,-0.5028600998836656,1.285367336475069,0.30847468628784325,-0.5028600998836656
2013-01-10,1.3249550126944534,1.2323786949265028,0.29391250926830553,-0.5359813047909693,-2.396917622276392,-0.5359813047909693,-0.5359813047909693,0.5877593357790112,-0.3453711971244729,-0.02001300713124928,1.2354061974169597,-0.5359813047909693,1.1492842866981903,-0.38148768629646207,-0.5359813047909693
2013-01-11,1.3318608335100424,1.2483331255985437,0.49269805627715896,-0.6414238583196725,-2.249640789270385,-0.6414238583196725,-0.6414238583196725,0.5138045797010099,-0.0915987551461038,0.21708231098070918,1.270525126721747,-0.6414238583196725,1.0310503731034844,-0.5569955698778403,-0.6414238583196725
2013-01-14,1.3614748104798267,1.286316975877451,0.6618962946497253,-0.7805726530789139,-2.055740234009804,-0.7805726530789139,-0.7805726530789139,0.4851955025826715,0.18751543242140292,0.18699452548204565,1.3179883591974288,-0.7805726530789139,0.7957313897289257,-0.32450979101510574,-0.7805726530789139
2013-01-15,1.3940180872680525,1.3283457632210365,0.8127920050275314,-0.8902019270376613,-1.7831524529564715,-0.8902019270376613,-0.8902019270376613,0.5341507918419901,0.4561010979504152,0.050229549391863526,1.3635157491708092,-0.8902019270376613,0.36091912253405023,-0.06591007826097141,-0.8902019270376613
2013-01-16,1.0756195987748807,1.4201139633880713,0.8332023826031155,-0.9680571316563434,-1.5008434754308422,-0.9680571316563434,-0.9680571316563434,0.6603322777291352,0.7244827311658564,0.22335622235198338,1.455884734488956,-0.9680571316563434,-0.20219997619647093,0.15033719940703127,-0.9680571316563434
2013-01-17,0.8749015367326679,1.4549191798587613,0.6888319090595109,-1.0220250786846288,-0.949125044816206,-1.0220250786846288,-1.0220250786846288,0.7485502211931466,0.9139794656349499,0.3826677476236587,1.4888297817755254,-1.0220250786846288,-0.8120829510839757,0.3186535474450955,-1.0220250786846288
2013-01-18,0.7388318604178724,1.384419902038398,0.6249437739467482,-1.0244733975152982,-0.41239026116019634,-1.0244733975152982,-1.0244733975152982,0.7849765942556127,0.9742013188891168,0.5334599539689784,1.4138152009610567,-1.0244733975152982,-1.3135704186961101,0.39367906295501165,-1.0244733975152982
2013-01-21,0.6638609794158775,1.276119722701972,0.5833139167548342,-1.0043852888425864,-0.048518567367794314,-1.0043852888425864,-1.0043852888425864,0.7883823822682026,0.9758056848341221,0.616289378939442,1.3003952446556748,-1.0043852888425864,-1.6291703797844956,0.4954480817950864,-1.0043852888425864
2013-01-22,0.45492104578121484,1.1996087604862111,0.5982794438837182,-0.9684967930277392,0.21350158285424806,-0.9684967930277392,-0.9684967930277392,0.7859483399594455,0.9691594601756028,0.6956563118967379,1.2197878944428335,-0.9684967930277392,-1.850106902185492,0.5557280278441764,-0.9684967930277392
2013-01-23,0.1942864152935583,1.1904905259157343,0.5430581847521949,-0.9197261778813104,0.43896320292381086,-0.9197261778813104,-0.9197261778813104,0.8208796145476236,0.7977131520419593,0.7884657358389757,1.2082614197534542,-0.9197261778813104,-2.010667649464307,0.6271802878035401,-0.9197261778813104
