date,000660,AAPL,AMZN,AVGO,BE,GEV,GOOGL,LITE,META,MSFT,MU,NVDA,PLTR,TSLA,VRT
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.5630313387088391,1.5617828027325245,-0.5507525601379569,1.9655132346750037,-0.8771236937023723,-0.8771236937023723,-0.41115672908558437,-0.8771236937023723,-0.42793410314355923,1.3167638020696624,0.6684530010888735,0.4211992384241013,-0.8771236937023723,-0.7212815568200418,-0.8771236937023723
2013-01-04,0.554148495932513,1.6469168971511436,-0.5695787212069071,1.9303417636988918,-0.8763718283751768,-0.8763718283751768,-0.41271419701697554,-0.8763718283751768,-0.3894511945934398,1.4035903221973747,0.4503614835582473,0.41706453145598865,-0.8763718283751768,-0.6488202393009517,-0.8763718283751768
2013-01-05,0.6254485135687321,1.7445081203090145,-0.5345403662517613,1.8910066018522675,-0.8426134685384967,-0.8426134685384967,-0.47658179434263276,-0.8426134685384967,-0.5262844557030867,1.4531293755228143,0.3840110569552828,0.23257209190031328,-0.8426134685384967,-0.5802018011184576,-0.8426134685384967
2013-01-06,0.6266790188663827,1.744311483004506,-0.5345984861414317,1.8908010605726742,-0.8426528641711092,-0.8426528641711092,-0.47664343687414074,-0.8426528641711092,-0.5263430773755814,1.452950447815405,0.3838971087805676,0.23246734797643737,-0.8426528641711092,-0.5802571457692717,-0.8426528641711092
2013-01-07,0.6337697787979022,1.739999262220052,-0.5331159762457067,1.903996745860171,-0.8426580658423106,-0.8426580658423106,-0.48806678211396104,-0.8426580658423106,-0.5248206989761551,1.433053445811583,0.3898153826783377,0.23765431005787774,-0.8426580658423106,-0.5789951388785458,-0.8426580658423106
2013-01-08,0.7119065082050939,1.7393665329089298,-0.6425101505502138,1.8975842929843045,-0.8228018363609683,-0.8228018363609683,-0.4578761414632183,-0.8228018363609683,-0.5964901098019215,1.4130743197918167,0.22771425315354263,0.3791665182805045,-0.8228018363609683,-0.5579268417039974,-0.8228018363609683
2013-01-09,0.6432061532410811,1.7071181361283596,-0.5939094867030991,1.9210240856356167,-0.8457148659317615,-0.8457148659317615,-0.46591377492837344,-0.8457148659317615,-0.5682299246874909,1.4079787358850382,0.21606327479398063,0.47204693888255106,-0.8457148659317615,-0.5108098085888582,-0.8457148659317615
2013-01-10,0.6841663158742985,1.798818454322877,-0.5762509771138115,1.7890104101318385,-0.8393558440549052,-0.8393558440549052,-0.5058793868992223,-0.8393558440549052,-0.7857733487274265,1.3708071525243783,0.16450888016082696,0.5914518850219005,-0.8393558440549052,-0.3340801650211325,-0.8393558440549052
2013-01-11,0.5861166764959533,1.7894278952358154,-0.5425966465961989,1.7369616316133056,-0.8300302028874273,-0.8300302028874273,-0.5058138325128934,-0.8300302028874273,-0.8655015948419675,1.477609319931958,0.1310411166906445,0.637276899827692,-0.8300302028874273,-0.2943704514071732,-0.8300302028874273
2013-01-12,0.5592490648511246,1.9044525005243973,-0.5870555898721282,1.6493555535288702,-0.8413843122620039,-0.8413843122620039,-0.48338676466418184,-0.8413843122620039,-0.8289051287071957,1.4219405977394404,0.09141091863898763,0.6812378309922449,-0.8413843122620039,-0.20137742172154002,-0.8413843122620039
2013-01-13,0.5592490648511246,1.9044525005243973,-0.5870555898721282,1.6493555535288702,-0.8413843122620039,-0.8413843122620039,-0.48338676466418184,-0.8413843122620039,-0.8289051287071957,1.4219405977394404,0.09141091863898763,0.6812378309922449,-0.8413843122620039,-0.20137742172154002,-0.8413843122620039
2013-01-14,0.5574457146901679,1.9066986849438665,-0.5923097194586382,1.650833806585079,-0.8474040605860232,-0.8474040605860232,-0.4883288146934599,-0.8474040605860232,-0.7825840177161371,1.4227342519437924,0.08819921142147905,0.6798017098420176,-0.8474040605860232,-0.20547052462805235,-0.8474040605860232
2013-01-15,0.5307541914182617,2.0788812920412583,-0.6589623800742469,1.5646334535623718,-0.8464038037225895,-0.8464038037225895,-0.39259763601164355,-0.8464038037225895,-0.6390672565812436,1.3663600152042448,-0.011147476043428443,0.6577511398096026,-0.8464038037225895,-0.2645863247122294,-0.8464038037225895
2013-01-16,0.6630750007199975,2.1334566171668388,-0.6601377523752227,1.5806973495391559,-0.8517089436691453,-0.8517089436691453,-0.42317952662536035,-0.8517089436691453,-0.4803617142602461,1.1934552111040295,-0.05330511914961056,0.683363765251968,-0.8517089436691453,-0.37851911302582414,-0.8517089436691453
2013-01-17,0.6858492010608312,1.9839749538579516,-0.6256137804735227,1.5866545251599795,-0.8775651754974066,-0.8775651754974066,-0.3578093490496013,-0.8775651754974066,-0.4732849385678941,1.3463938276363092,-0.06993926960906492,0.7106626703466034,-0.8775651754974066,-0.3990619628745568,-0.8775651754974066
2013-01-18,0.7674711146596521,2.050605440771966,-0.6092349558037123,1.5562746469036244,-0.8657368093423777,-0.8657368093423777,-0.3158055747270921,-0.8657368093423777,-0.503813883011474,1.2986935089136145,-0.14412968513825425,0.6520254736020183,-0.8657368093423777,-0.4234020394584506,-0.8657368093423777
2013-01-19,0.8107919314606443,1.9872325066765872,-0.6331965499319555,1.600238641114407,-0.8809973946481131,-0.8809973946481131,-0.2782764382066011,-0.8809973946481131,-0.4297921426947365,1.2723983741794829,-0.13009883799725974,0.6648960350962809,-0.8809973946481131,-0.4592065464562833,-0.8809973946481131
2013-01-20,0.8107919314606443,1.9872325066765872,-0.6331965499319555,1.600238641114407,-0.8809973946481131,-0.8809973946481131,-0.2782764382066011,-0.8809973946481131,-0.4297921426947365,1.2723983741794829,-0.13009883799725974,0.6648960350962809,-0.8809973946481131,-0.4592065464562833,-0.8809973946481131
2013-01-21,0.8105095698903443,1.987079166817928,-0.6336372755279308,1.6000428591537146,-0.8814652968731549,-0.8814652968731549,-0.2731090072124643,-0.8814652968731549,-0.4302105606745602,1.2721666375660219,-0.1304843882369239,0.6645976729402592,-0.8814652968731549,-0.4596281903506157,-0.8814652968731549
2013-01-22,0.7706904835461482,1.9881817337725,-0.6324429328410867,1.6107596434957991,-0.8813274742480472,-0.8813274742480472,-0.27037769002923,-0.8813274742480472,-0.4281489859282857,1.2814856469349882,-0.12714504549456496,0.6713265442105095,-0.8813274742480472,-0.4576920264265428,-0.8813274742480472
2013-01-23,0.9170121631635357,1.8971027219962313,-0.5929411089694052,1.6006862955486918,-0.8702336560755265,-0.8702336560755265,-0.25381049892931634,-0.8702336560755265,-0.5782819655575251,1.2959748914923748,-0.09521328962538954,0.6965306812381336,-0.8702336560755265,-0.5358916099796976,-0.8702336560755265
2013-01-24,1.0457280967348328,1.8183880959345544,-0.5473320110142612,1.6449578552479136,-0.8626057137384046,-0.8626057137384046,-0.35178558465862825,-0.8626057137384046,-0.5796255512664713,1.2281832194394897,-0.03902035016107379,0.7175750664430194,-0.8626057137384046,-0.6240402680073529,-0.8626057137384046
2013-01-25,1.1320650855378689,1.744703382223707,-0.5474966429268705,1.7147077090455694,-0.8333309856823673,-0.8333309856823673,-0.40764520722018976,-0.8333309856823673,-0.5923637290670011,1.20900242610609,-0.05802733276261679,0.6857608147422336,-0.8333309856823673,-0.7140515772669546,-0.8333309856823673
2013-01-26,1.1711802704333574,1.8379944096354228,-0.6590150568269375,1.6987067700765286,-0.8126895254691365,-0.8126895254691365,-0.36727514256972693,-0.8126895254691365,-0.6107639734973739,1.1138022820114586,-0.05955758270784157,0.6302329802374507,-0.8126895254691365,-0.691857329446656,-0.8126895254691365
