date,AAPL_mom_21d,AAPL_mom_63d,AAPL_mom_126d,AAPL_mom_252_skip21,MSFT_mom_21d,MSFT_mom_63d,MSFT_mom_126d,MSFT_mom_252_skip21,GOOGL_mom_21d,GOOGL_mom_63d,GOOGL_mom_126d,GOOGL_mom_252_skip21,AMZN_mom_21d,AMZN_mom_63d,AMZN_mom_126d,AMZN_mom_252_skip21,META_mom_21d,META_mom_63d,META_mom_126d,META_mom_252_skip21,NVDA_mom_21d,NVDA_mom_63d,NVDA_mom_126d,NVDA_mom_252_skip21,TSLA_mom_21d,TSLA_mom_63d,TSLA_mom_126d,TSLA_mom_252_skip21,PLTR_mom_21d,PLTR_mom_63d,PLTR_mom_126d,PLTR_mom_252_skip21,AVGO_mom_21d,AVGO_mom_63d,AVGO_mom_126d,AVGO_mom_252_skip21,GEV_mom_21d,GEV_mom_63d,GEV_mom_126d,GEV_mom_252_skip21,VRT_mom_21d,VRT_mom_63d,VRT_mom_126d,VRT_mom_252_skip21
2013-02-10,-0.04450452117815029,,,,0.011009341535657136,,,,0.11475597211109845,,,,-0.037336469204762524,,,,-0.0375840293338765,,,,0.01638176638176625,,,,0.13674879415982288,,,,0.0,,,,0.025580480125934724,,,,0.0,,,,0.0,,,
2013-02-11,-0.034549997356036144,,,,0.022383230804283505,,,,0.1105840667504856,,,,-0.054828752021167215,,,,-0.04719223195491273,,,,0.0277777777777779,,,,0.11297962021466135,,,,0.0,,,,0.0279417552144825,,,,0.0,,,,0.0,,,
2013-02-12,-0.06764180159888955,,,,0.026888334972215322,,,,0.11072922037005206,,,,-0.042561065877128046,,,,-0.10931970114038536,,,,0.026485325697924278,,,,0.07672634271099721,,,,0.0,,,,0.02046438410074769,,,,0.0,,,,0.0,,,
2013-02-13,-0.0861340620479023,,,,0.015214819945221336,,,,0.055821025195482044,,,,0.005072355661644101,,,,-0.09449127622034903,,,,0.020014295925661063,,,,0.06804166666666678,,,,0.0,,,,0.021653543307086576,,,,0.0,,,,0.0,,,
2013-02-14,0.04175042183258748,,,,0.014839782481686159,,,,0.045078246007584255,,,,-0.016007601783495362,,,,-0.0830093312597201,,,,0.04445234708392598,,,,0.03540145985401466,,,,0.0,,,,0.05031948881789128,,,,0.0,,,,0.0,,,
2013-02-15,0.05219501566526685,,,,0.0046587447221677625,,,,0.05203269405416955,,,,-0.06661971830985913,,,,-0.10207209220650693,,,,0.025847013622074755,,,,0.0016225205857298697,,,,0.0,,,,0.028560095200317326,,,,0.0,,,,0.0,,,
2013-02-16,0.05219501566526685,,,,0.0046587447221677625,,,,0.05203269405416955,,,,-0.06661971830985913,,,,-0.10207209220650693,,,,0.025847013622074755,,,,0.0016225205857298697,,,,0.0,,,,0.028560095200317326,,,,0.0,,,,0.0,,,
2013-02-17,0.05219501566526685,,,,0.0046587447221677625,,,,0.05203269405416955,,,,-0.06661971830985913,,,,-0.10207209220650693,,,,0.025847013622074755,,,,0.0016225205857298697,,,,0.0,,,,0.028560095200317326,,,,0.0,,,,0.0,,,
2013-02-18,0.028925771635551545,,,,0.0035457995399803544,,,,0.056151453394829964,,,,-0.03970439066801912,,,,-0.1277757102096514,,,,0.009625300790649716,,,,-0.026032422198556282,,,,0.0,,,,0.019261006289308158,,,,0.0,,,,0.0,,,
2013-02-19,0.00960616179026541,,,,0.009540275745888227,,,,0.07051658742454192,,,,0.03610385619910894,,,,-0.060406855049712216,,,,0.017211099402880237,,,,0.03505928853754958,,,,0.0,,,,0.028224225793806346,,,,0.0,,,,0.0,,,
2013-02-20,-0.01174172544763974,,,,0.009002059906724424,,,,0.051220424077337956,,,,-0.023243877401378565,,,,-0.08890178254843173,,,,0.0049261083743843415,,,,0.02718586335105755,,,,0.0,,,,-0.010827532869296275,,,,0.0,,,,0.0,,,
2013-02-21,-0.01499782324771437,,,,0.009748440475705777,,,,0.052693270818903626,,,,0.00165725047080989,,,,-0.1193525320158616,,,,0.0024752475247524774,,,,-0.06266245451273655,,,,0.0,,,,-0.058712121212121327,,,,0.0,,,,0.0,,,
2013-02-22,-0.00040071691899690176,,,,0.0021429270071047224,,,,0.031095883299589788,,,,0.0015849056603773892,,,,-0.0874542744885517,,,,0.01191310441485638,,,,-0.05718090314494961,,,,0.0,,,,-0.05979073243647237,,,,0.0,,,,0.0,,,
2013-02-23,-0.00040071691899690176,,,,0.0021429270071047224,,,,0.031095883299589788,,,,0.0015849056603773892,,,,-0.0874542744885517,,,,0.01191310441485638,,,,-0.05718090314494961,,,,0.0,,,,-0.05979073243647237,,,,0.0,,,,0.0,,,
2013-02-24,-0.00040071691899690176,,,,0.0021429270071047224,,,,0.031095883299589788,,,,0.0015849056603773892,,,,-0.0874542744885517,,,,0.01191310441485638,,,,-0.05718090314494961,,,,0.0,,,,-0.05979073243647237,,,,0.0,,,,0.0,,,
2013-02-25,0.0069264910261965795,,,,0.005706398769119492,,,,0.04185454352554241,,,,-0.00038464497269030673,,,,-0.029841656516443438,,,,0.0117647058823529,,,,-0.08903020667726558,,,,0.0,,,,-0.06355932203389836,,,,0.0,,,,0.0,,,
2013-02-26,-0.013664712846129357,,,,0.003694286501402244,,,,0.03186454937427685,,,,-0.028250281004121414,,,,-0.04363419007770475,,,,0.00034843205574919267,,,,-0.09704956726986613,,,,0.0,,,,-0.06429391504018378,,,,0.0,,,,0.0,,,
2013-02-27,-0.022278748112123714,,,,0.02561144544112648,,,,0.03847762442492675,,,,0.003966135306231466,,,,-0.07501386577925673,,,,0.02739726027397249,,,,-0.10389461187914073,,,,0.0,,,,-0.05475285171102651,,,,0.0,,,,0.0,,,
2013-02-28,-0.0572783988434844,,,,0.027385351999854368,,,,0.035220060347518345,,,,0.015524131570857636,,,,-0.0488559277354047,,,,0.03668430335097006,,,,-0.11778115501519759,,,,0.0,,,,-0.02131782945736438,,,,0.0,,,,0.0,,,
2013-03-01,-0.09370827712635343,,,,0.022919239540984293,,,,0.026504665231210867,,,,0.014429683921209246,,,,-0.026810597241330725,,,,0.033637000700770914,,,,-0.1169724770642202,,,,0.0,,,,-0.04566385264773587,,,,0.0,,,,0.0,,,
2013-03-02,-0.09370827712635343,,,,0.022919239540984293,,,,0.026504665231210867,,,,0.014429683921209246,,,,-0.026810597241330725,,,,0.033637000700770914,,,,-0.1169724770642202,,,,0.0,,,,-0.04566385264773587,,,,0.0,,,,0.0,,,
2013-03-03,-0.09370827712635343,,,,0.022919239540984293,,,,0.026504665231210867,,,,0.014429683921209246,,,,-0.026810597241330725,,,,0.033637000700770914,,,,-0.1169724770642202,,,,0.0,,,,-0.04566385264773587,,,,0.0,,,,0.0,,,
2013-03-04,-0.12476978796530214,,,,0.01877768962658566,,,,0.0499150928832397,,,,0.06189735614307934,,,,-0.01909920182440139,,,,0.017671517671517645,,,,-0.07390778120485697,,,,0.0,,,,-0.052450229709035234,,,,0.0,,,,0.0,,,
2013-03-05,-0.07855337078651692,,,,0.025275694357841383,,,,0.07416193914388858,,,,0.06524932354078072,,,,0.005481972038263505,,,,0.03591352859135277,,,,-0.032739509105304876,,,,0.0,,,,-0.023139220979560338,,,,0.0,,,,0.0,,,
2013-03-06,-0.08853928473429074,-0.2201862475394738,,,0.010437155565006462,0.025437216202850443,,,0.06197284509360235,0.1495295885987864,,,0.016030874276384166,0.0640447691590238,,,-0.016309446489139012,-0.019564122851183252,,,0.040294323756131734,0.01192910702113159,,,-0.01974017867592548,0.06592287786874818,,,0.0,0.0,,,-0.013102119460501105,0.06663890045814247,,,0.0,0.0,,,0.0,0.0,,
2013-03-07,-0.077168470644573,-0.20107910379515315,,,0.01187713673321178,0.041212121212121255,,,0.056830377676700516,0.15055917209147052,,,0.017233694844748237,0.05957907768492743,,,0.0027559889760440104,0.029118468288791277,,,0.008512087163772497,0.008512087163772497,,,-0.0018015900990874245,0.09952545297670401,,,0.0,0.0,,,-0.018631178707224305,0.06917978458989227,,,0.0,0.0,,,0.0,0.0,,
2013-03-08,-0.061802005084116485,-0.1760223759383408,,,0.007922152768542023,0.0557900651518739,,,0.048697506728279105,0.12673904741120623,,,0.03440470801267548,0.05803364716777293,,,-0.012729341487697332,-0.027801120448179284,,,0.01327885597548506,-0.01911667765326308,,,0.03863443081035123,0.11834474338289813,,,0.0,0.0,,,0.0038565368299268155,0.0854879065888241,,,0.0,0.0,,,0.0,0.0,,
2013-03-09,-0.061802005084116485,-0.1760223759383408,,,0.007922152768542023,0.0557900651518739,,,0.048697506728279105,0.12673904741120623,,,0.03440470801267548,0.05803364716777293,,,-0.012729341487697332,-0.027801120448179284,,,0.01327885597548506,-0.01911667765326308,,,0.03863443081035123,0.11834474338289813,,,0.0,0.0,,,0.0038565368299268155,0.0854879065888241,,,0.0,0.0,,,0.0,0.0,,
2013-03-10,-0.061802005084116485,-0.1760223759383408,,,0.007922152768542023,0.0557900651518739,,,0.048697506728279105,0.12673904741120623,,,0.03440470801267548,0.05803364716777293,,,-0.012729341487697332,-0.027801120448179284,,,0.01327885597548506,-0.01911667765326308,,,0.03863443081035123,0.11834474338289813,,,0.0,0.0,,,0.0038565368299268155,0.0854879065888241,,,0.0,0.0,,,0.0,0.0,,
2013-03-11,-0.048434777641312765,-0.15933736649865315,,,0.0032406791683290415,0.052856611147296784,,,0.052861422840603245,0.1361718450326046,,,0.02323826769277204,0.010355360202637165,,,-0.0063646707438486105,-0.0435362973611253,,,0.003404834865509132,0.00033944331296686947,,,0.05564329972056847,0.13864500065522223,,,0.0,0.0,,,0.0034708831469341117,0.09098532494758915,,,0.0,0.0,,,0.0,0.0,,
2013-03-12,-0.06861057338581211,-0.1796710832609817,,,-0.004812885887178209,0.05992619719100345,,,0.02574978791356841,0.12858946906056112,,,0.0162366548042705,0.029131316164877186,,,-0.03801037279404085,-0.04234380955681072,,,0.02106353591160226,0.02602359472588489,,,-0.004085996868675279,0.1615374337505011,,,0.0,0.0,,,-0.002668699961875798,0.10426340227944264,,,0.0,0.0,,,0.0,0.0,,
2013-03-13,-0.04567283055884974,-0.16680727588807498,,,0.0016173149919798124,0.05416215160379689,,,0.041459201300680926,0.11815404756709591,,,0.032580136626379375,0.03281273464484169,,,-0.048575977357155575,-0.11475409836065575,,,0.0353641456582634,0.04969826056088045,,,0.011442805433386383,0.1587372363668791,,,0.0,0.0,,,0.0383111806098515,0.0970673275505991,,,0.0,0.0,,,0.0,0.0,,
2013-03-14,-0.03040080145558488,-0.1690330237814155,,,0.023461579815067024,0.07210635981378588,,,0.032695616965279894,0.10794960903562112,,,-0.0007520493344362889,0.0015074998115627292,,,-0.008931866833985391,-0.13611942219219508,,,0.04373897707231045,0.04891882311237139,,,0.048080204778157,0.09904710777076908,,,0.0,0.0,,,0.08853118712273655,0.09337105901374287,,,0.0,0.0,,,0.0,0.0,,
