date,AAPL_port,AAPL_bm,AAPL_active,MSFT_port,MSFT_bm,MSFT_active,GOOGL_port,GOOGL_bm,GOOGL_active,AMZN_port,AMZN_bm,AMZN_active,META_port,META_bm,META_active,NVDA_port,NVDA_bm,NVDA_active,TSLA_port,TSLA_bm,TSLA_active,PLTR_port,PLTR_bm,PLTR_active,AVGO_port,AVGO_bm,AVGO_active,MU_port,MU_bm,MU_active,GEV_port,GEV_bm,GEV_active,VRT_port,VRT_bm,VRT_active,BE_port,BE_bm,BE_active
2023-08-31,0.10533965550218266,0.210046228669712,-0.10470657316752935,0.16175608712310932,0.18041118554707808,-0.018655098423968758,0.14209462542403328,0.20144012117383503,-0.05934549574980175,0.091765600216752,0.17241753398977827,-0.08065193377302628,0.04264027806512449,0.1339270131971172,-0.0912867351319927,0.2417348438560435,0.036734116182526616,0.20500072767351687,0.027582325739420373,0.014755138511675673,0.0128271872277447,0.12002619670740948,0.0027391210600345166,0.11728707564737496,0.03237777716351694,0.025066508387920745,0.007311268775596194,0.0,0.012467270860706583,-0.012467270860706583,0.0,0.009393889659349137,-0.009393889659349137,0.03468261020240786,0.0002095127352681335,0.034473097467139724,0.0,0.0003923600249980471,-0.0003923600249980471
2023-09-29,0.018730252236374506,0.22273260540755524,-0.20400235317118073,0.1196729177433155,0.17793545477253891,-0.05826253702922342,0.12023709108306203,0.18923387763947278,-0.06899678655641074,0.0484017432267708,0.1804438513474909,-0.13204210812072012,0.051553968235956336,0.12766323365531254,-0.0761092654193562,0.3508517735998933,0.03614161250978319,0.3147101610901101,0.01104659080850855,0.014281391995457754,-0.0032348011869492033,0.18238187343072332,0.002737257596472452,0.17964461583425087,0.03433397758113387,0.02493247797317884,0.00940149960795503,0.0,0.013909274944459765,-0.013909274944459765,0.0045731159997506945,0.00938749886073068,-0.004814382860979986,0.05821669605451117,0.000209370200732637,0.05800732585377853,0.0,0.0003920930968142357,-0.0003920930968142357
2023-10-31,0.021361872914734317,0.22215852033601025,-0.20079664742127593,0.19375545456678295,0.183391119044533,0.01036433552224994,0.09943036135332381,0.18766131145048048,-0.08823095009715667,0.07288115872746727,0.1828450888921194,-0.10996393016465213,0.045996993501895275,0.12113427806110465,-0.07513728455920937,0.3455293008013211,0.03656338419898528,0.30896591660233585,0.006495039847826592,0.01173129520866674,-0.005236255360840147,0.12234679808362103,0.002898460212101588,0.11944833787151944,0.0327193523830226,0.02525912625530697,0.00746022612771563,0.002482696465827602,0.0157801840724287,-0.0132974876066011,0.005693496477360306,0.00994034758513116,-0.004246851107770853,0.051307474876817215,0.00022170043374994373,0.05108577444306727,0.0,0.0004151842493816951,-0.0004151842493816951
2023-11-30,0.021748955891117375,0.21458642734362265,-0.1928374714525053,0.20194959189063727,0.1838778514934484,0.018071740397188868,0.06796673353893586,0.18092348202916494,-0.11295674849022909,0.07859520931496473,0.19447134007407585,-0.11587613075911112,0.06700196744379312,0.12745803688648016,-0.06045606944268704,0.33005198172391403,0.03493709800388654,0.2951148837200275,0.0456613005279973,0.012769015269545518,0.03289228525845178,0.07775167298141307,0.0028423598492772306,0.07490931313213584,0.045261683948285635,0.024115367643588913,0.02114631630469672,0.014588258511911766,0.013646513897486095,0.0009417446144256714,0.0,0.009747949875548065,-0.009747949875548065,0.049422644227029765,0.0002174093709574443,0.04920523485607232,0.0,0.00040714826291825387,-0.00040714826291825387
2023-12-29,0.022450399710313904,0.21838791547286046,-0.19593751576254656,0.21905972927719844,0.1805626980243318,0.03849703125286663,0.07170166687797526,0.1803264370540509,-0.10862477017607565,0.07477426140099577,0.1880115459178463,-0.11323728451685053,0.04980882693158281,0.1320421140157673,-0.08223328708418448,0.2769622187176409,0.036397357487505916,0.24056486123013496,0.02917655120722898,0.01149497585044959,0.01768157535677939,0.04205342840743052,0.0026408846729130656,0.03941254373451745,0.12270188878872754,0.02461807834606618,0.09808381044266136,0.05040260465481005,0.015880720767002005,0.034521883887808046,0.0,0.009056985316340511,-0.009056985316340511,0.04090842402609588,0.00020199872850553533,0.040706425297590346,0.0,0.0003782883463603002,-0.0003782883463603002
2024-01-31,0.018271305761328224,0.21390753784087962,-0.1956362320795514,0.22007524062278305,0.17812441386054922,0.04195082676223383,0.09079935704534758,0.18320144624725773,-0.09240208920191015,0.06719460206080484,0.19391133216120515,-0.1267167301004003,0.055699173992185776,0.13229208066483789,-0.07659290667265212,0.3324425166346141,0.033807592424898544,0.29863492420971555,0.0029312519235024995,0.013690295851153209,-0.010759043927650709,0.07850542731935663,0.002611299146092768,0.07589412817326385,0.07543473089137939,0.024625543442390065,0.050809187448989324,0.0,0.014299151222131658,-0.014299151222131658,0.0,0.008955520953001972,-0.008955520953001972,0.05864639374869789,0.00019973576001578513,0.05844665798868211,0.0,0.0003740504255863107,-0.0003740504255863107
2024-02-29,0.010000106523866925,0.21136952764452774,-0.2013694211206608,0.22805281841405894,0.18678604929421005,0.04126676911984889,0.08613687765964759,0.1949639613258648,-0.10882708366621721,0.06712231079950143,0.19884000567757038,-0.13171769487806895,0.080044576393763,0.11428507717486905,-0.03424050078110605,0.31300992126873256,0.03408991520861738,0.2789200060601152,0.01486593588077192,0.011610773829500308,0.003255162051271611,0.05633512367385462,0.002547507781782546,0.05378761589207207,0.08541219856390972,0.021957612444488978,0.06345458611942074,0.012825865267859778,0.01404294291825189,-0.0012170776503921121,0.00409280958854209,0.008736746746088306,-0.0046439371575462155,0.042101455965491585,0.00019485641991719442,0.041906599545574394,0.0,0.0005750235343114305,-0.0005750235343114305
2024-03-28,0.005459034510579165,0.23231176835165396,-0.2268527338410748,0.1793754766304715,0.18200838933993924,-0.0026329127094677496,0.12705060093247364,0.17999767086120463,-0.052947069928730994,0.0845833948114093,0.2074301456790848,-0.1228467508676755,0.05425660568562344,0.10720790784239682,-0.052951302156773385,0.31807950648287003,0.03605921620177282,0.2820202902810972,0.01954158746614652,0.010873779827276038,0.008667807638870482,0.059358964521356444,0.002346915049517119,0.05701204947183933,0.05691162406966329,0.01997872515659661,0.036932898913066683,0.029175023580312435,0.012871022108581136,0.0163040014717313,0.006719187139078629,0.008048808552752288,-0.0013296214136736583,0.05948899417001576,0.00017732631101213236,0.05931166785900363,0.0,0.0006883247182123691,-0.0006883247182123691
2024-04-30,0.005935449397642338,0.23307053884267584,-0.2271350894450335,0.17755175986227106,0.18747567067884013,-0.00992391081656907,0.09035694289259748,0.1784213558072966,-0.08806441291469912,0.07051687413321883,0.20883763414203313,-0.1383207600088143,0.0,0.1015028753586986,-0.1015028753586986,0.4197885262483523,0.03652407209274572,0.38326445415560656,0.008059097227177684,0.009655365777206906,-0.0015962685500292215,0.0760307518301754,0.002374294120945173,0.07365645770923022,0.04284797966393679,0.021806209808033706,0.021041769855903083,0.02940780000180844,0.01121378059133841,0.018194019410470032,0.007939255713403752,0.008142705817726527,-0.00020345010432277523,0.07156556302941605,0.0001797637429081967,0.07138579928650786,0.0,0.000795733219550921,-0.000795733219550921
2024-05-31,0.011206990823000258,0.250036901045982,-0.23882991022298172,0.17880617860495657,0.19526646406146841,-0.016460285456511847,0.108994133358851,0.17818479172817067,-0.06919065836931967,0.07284923950469219,0.1848237273275134,-0.11197448782282121,0.0,0.1033313226785191,-0.1033313226785191,0.36653438036960295,0.030320281135354284,0.33621409923424866,0.0,0.0136113405643888,-0.0136113405643888,0.0628967588870135,0.0026272014209330974,0.060269557466080405,0.04328378672914673,0.02185622617236962,0.021427560556777105,0.021961233124568408,0.010119982590665166,0.011841250533903242,0.032185689445273974,0.009010058234089072,0.0231756312111849,0.08278234876060359,0.00019809593760488793,0.0825842528229987,0.018499260392290915,0.0006136071029416484,0.017885653289349268
